Date,Brand,Title,Color,Price,Review,Availability,product_link
2024-10-20,the U.S. POLO ASSN. Store,U.S. POLO ASSN. Men's Sneaker,GREY,"1,978",4.2 out of 5 stars,Available ,https://www.amazon.in//sspa/click?ie=UTF8&spc=MToxMjYwOTkwMDM3NjQ1OTEyOjE3MjkzNjYxNTg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDM0NzY4NzU4MjczMjo6MDo6&url=%2FU-S-POLO-ASSN-Sneakers-2FD22562G07%2Fdp%2FB0B8T3QSSP%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.9b1e2d89-026c-4755-b5dc-ae3190ec9cb6%253Aamzn1.sym.9b1e2d89-026c-4755-b5dc-ae3190ec9cb6%26cv_ct_cx%3Dsneakers%2Bfor%2Bmen%2Bnike%26dib%3DeyJ2IjoiMSJ9.tZlv2LX6Zd5Sb7TweDkd88cjhKgzRlnnHSMCuZrY0OWxtEKhcxaOCeIJBZqQGNJA5aZbL1bXtvblwDD6v6rc9A.IIqs8Zbg4kUfxq9qyzc3t4FaTgbbbvvFdaRBiCmGphA%26dib_tag%3Dse%26keywords%3Dsneakers%2Bfor%2Bmen%2Bnike%26nsdOptOutParam%3Dtrue%26pd_rd_i%3DB0B8T3QSSP%26pd_rd_r%3Dcc1d7bd2-15e9-48a6-8de0-9de7143b519f%26pd_rd_w%3DJH1YI%26pd_rd_wg%3DubOHJ%26pf_rd_p%3D9b1e2d89-026c-4755-b5dc-ae3190ec9cb6%26pf_rd_r%3DEV5KMPW2QYVQ21T2F2DD%26qid%3D1729366158%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-4e480fe6-dd02-46af-8da7-58088322ef64-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
2024-10-20,the U.S. POLO ASSN. Store,U.S. POLO ASSN. Men's Canvas Sneaker,NAVY,"2,309",4.1 out of 5 stars,Available ,https://www.amazon.in//sspa/click?ie=UTF8&spc=MToxMjYwOTkwMDM3NjQ1OTEyOjE3MjkzNjYxNTg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDM0NzY4NzU4NjQzMjo6MTo6&url=%2FU-S-POLO-ASSN-Sneakers-2FD23312N01%2Fdp%2FB0C9F26XWZ%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.9b1e2d89-026c-4755-b5dc-ae3190ec9cb6%253Aamzn1.sym.9b1e2d89-026c-4755-b5dc-ae3190ec9cb6%26cv_ct_cx%3Dsneakers%2Bfor%2Bmen%2Bnike%26dib%3DeyJ2IjoiMSJ9.tZlv2LX6Zd5Sb7TweDkd88cjhKgzRlnnHSMCuZrY0OWxtEKhcxaOCeIJBZqQGNJA5aZbL1bXtvblwDD6v6rc9A.IIqs8Zbg4kUfxq9qyzc3t4FaTgbbbvvFdaRBiCmGphA%26dib_tag%3Dse%26keywords%3Dsneakers%2Bfor%2Bmen%2Bnike%26nsdOptOutParam%3Dtrue%26pd_rd_i%3DB0C9F26XWZ%26pd_rd_r%3Dcc1d7bd2-15e9-48a6-8de0-9de7143b519f%26pd_rd_w%3DJH1YI%26pd_rd_wg%3DubOHJ%26pf_rd_p%3D9b1e2d89-026c-4755-b5dc-ae3190ec9cb6%26pf_rd_r%3DEV5KMPW2QYVQ21T2F2DD%26qid%3D1729366158%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-2-4e480fe6-dd02-46af-8da7-58088322ef64-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
2024-10-20,the U.S. POLO ASSN. Store,U.S. POLO ASSN. Men's Sneaker,OFF WHITE,"2,063",4.1 out of 5 stars,Available ,https://www.amazon.in//sspa/click?ie=UTF8&spc=MToxMjYwOTkwMDM3NjQ1OTEyOjE3MjkzNjYxNTg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDM0NzY4NzU4NTMzMjo6Mjo6&url=%2FU-S-POLO-ASSN-Sneakers-2FD23417A01%2Fdp%2FB0CHDP17MH%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.9b1e2d89-026c-4755-b5dc-ae3190ec9cb6%253Aamzn1.sym.9b1e2d89-026c-4755-b5dc-ae3190ec9cb6%26cv_ct_cx%3Dsneakers%2Bfor%2Bmen%2Bnike%26dib%3DeyJ2IjoiMSJ9.tZlv2LX6Zd5Sb7TweDkd88cjhKgzRlnnHSMCuZrY0OWxtEKhcxaOCeIJBZqQGNJA5aZbL1bXtvblwDD6v6rc9A.IIqs8Zbg4kUfxq9qyzc3t4FaTgbbbvvFdaRBiCmGphA%26dib_tag%3Dse%26keywords%3Dsneakers%2Bfor%2Bmen%2Bnike%26nsdOptOutParam%3Dtrue%26pd_rd_i%3DB0CHDP17MH%26pd_rd_r%3Dcc1d7bd2-15e9-48a6-8de0-9de7143b519f%26pd_rd_w%3DJH1YI%26pd_rd_wg%3DubOHJ%26pf_rd_p%3D9b1e2d89-026c-4755-b5dc-ae3190ec9cb6%26pf_rd_r%3DEV5KMPW2QYVQ21T2F2DD%26qid%3D1729366158%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-3-4e480fe6-dd02-46af-8da7-58088322ef64-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
2024-10-20,the U.S. POLO ASSN. Store,U.S. POLO ASSN. Men's Sneaker,Black,"2,751",5.0 out of 5 stars,Available ,https://www.amazon.in//sspa/click?ie=UTF8&spc=MToxMjYwOTkwMDM3NjQ1OTEyOjE3MjkzNjYxNTg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDMyNTgyNjY5ODYzMjo6Mzo6&url=%2FU-S-Assn-Reiner-Sneaker-2FD24453Z01%2Fdp%2FB0D8BS64QL%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.9b1e2d89-026c-4755-b5dc-ae3190ec9cb6%253Aamzn1.sym.9b1e2d89-026c-4755-b5dc-ae3190ec9cb6%26cv_ct_cx%3Dsneakers%2Bfor%2Bmen%2Bnike%26dib%3DeyJ2IjoiMSJ9.tZlv2LX6Zd5Sb7TweDkd88cjhKgzRlnnHSMCuZrY0OWxtEKhcxaOCeIJBZqQGNJA5aZbL1bXtvblwDD6v6rc9A.IIqs8Zbg4kUfxq9qyzc3t4FaTgbbbvvFdaRBiCmGphA%26dib_tag%3Dse%26keywords%3Dsneakers%2Bfor%2Bmen%2Bnike%26nsdOptOutParam%3Dtrue%26pd_rd_i%3DB0D8BS64QL%26pd_rd_r%3Dcc1d7bd2-15e9-48a6-8de0-9de7143b519f%26pd_rd_w%3DJH1YI%26pd_rd_wg%3DubOHJ%26pf_rd_p%3D9b1e2d89-026c-4755-b5dc-ae3190ec9cb6%26pf_rd_r%3DEV5KMPW2QYVQ21T2F2DD%26qid%3D1729366158%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-4-4e480fe6-dd02-46af-8da7-58088322ef64-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
2024-10-20,the U.S. POLO ASSN. Store,U.S. POLO ASSN. Men's Sneaker,OFF WHITE,"2,063",4.0 out of 5 stars,Available ,https://www.amazon.in//sspa/click?ie=UTF8&spc=MToxMjYwOTkwMDM3NjQ1OTEyOjE3MjkzNjYxNTg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDMyNTgwMjI2MjczMjo6NDo6&url=%2FU-S-POLO-ASSN-Britt-Sneaker%2Fdp%2FB0B8T5PS77%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.9b1e2d89-026c-4755-b5dc-ae3190ec9cb6%253Aamzn1.sym.9b1e2d89-026c-4755-b5dc-ae3190ec9cb6%26cv_ct_cx%3Dsneakers%2Bfor%2Bmen%2Bnike%26dib%3DeyJ2IjoiMSJ9.tZlv2LX6Zd5Sb7TweDkd88cjhKgzRlnnHSMCuZrY0OWxtEKhcxaOCeIJBZqQGNJA5aZbL1bXtvblwDD6v6rc9A.IIqs8Zbg4kUfxq9qyzc3t4FaTgbbbvvFdaRBiCmGphA%26dib_tag%3Dse%26keywords%3Dsneakers%2Bfor%2Bmen%2Bnike%26nsdOptOutParam%3Dtrue%26pd_rd_i%3DB0B8T5PS77%26pd_rd_r%3Dcc1d7bd2-15e9-48a6-8de0-9de7143b519f%26pd_rd_w%3DJH1YI%26pd_rd_wg%3DubOHJ%26pf_rd_p%3D9b1e2d89-026c-4755-b5dc-ae3190ec9cb6%26pf_rd_r%3DEV5KMPW2QYVQ21T2F2DD%26qid%3D1729366158%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-5-4e480fe6-dd02-46af-8da7-58088322ef64-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
2024-10-20, Nike,Nike Mens Court Vision Lo NnRunning Shoe,BLACK/WHITE-BLACK,"3,746",3.8 out of 5 stars,Available ,https://www.amazon.in//Nike-Court-Vision-White-Black-Running/dp/B098F4JSYJ/ref=sr_1_7?dib=eyJ2IjoiMSJ9.p8S22oHW-QuyVTiio2bpnVgbvdpJSKrUzIVAvyF8dmZ56dPOpA4oqBqoZxuwBR2mGtvt4jj8dLtDkNDwrgW0x3c9TIg8OLIsPOtkqYad7CaZDpiDFmu4SkVtvL_Mk5dWuh58ffrkPorTZSkioKVSLtwpCyqnTm7k1nHoKjqYAmBBn9JA7Q0eJu93VTSzVVmr2ZuxLFmVq8snlkSJLl_KlmF6Wok1D9ysadzkfyl4UHCjEjgl0GZFU2iGf_JvJDi6F8wjTcMf_pHMLcKfVJi4ai-skrxLgaydMMLcv5YJoww.pAfsenEZISP3PHK35eaCxhW5WEgcCA44-tRGhE294yw&dib_tag=se&keywords=sneakers+for+men+nike&nsdOptOutParam=true&qid=1729366158&sr=8-7
2024-10-20,the U.S. POLO ASSN. Store,U.S. POLO ASSN. Men's Canvas Sneaker,OFF WHITE,"1,700",3.6 out of 5 stars,Available ,https://www.amazon.in//U-S-POLO-ASSN-Sneaker-WHITE/dp/B08VWHXJM1/ref=sr_1_12?dib=eyJ2IjoiMSJ9.p8S22oHW-QuyVTiio2bpnVgbvdpJSKrUzIVAvyF8dmZ56dPOpA4oqBqoZxuwBR2mGtvt4jj8dLtDkNDwrgW0x3c9TIg8OLIsPOtkqYad7CaZDpiDFmu4SkVtvL_Mk5dWuh58ffrkPorTZSkioKVSLtwpCyqnTm7k1nHoKjqYAmBBn9JA7Q0eJu93VTSzVVmr2ZuxLFmVq8snlkSJLl_KlmF6Wok1D9ysadzkfyl4UHCjEjgl0GZFU2iGf_JvJDi6F8wjTcMf_pHMLcKfVJi4ai-skrxLgaydMMLcv5YJoww.pAfsenEZISP3PHK35eaCxhW5WEgcCA44-tRGhE294yw&dib_tag=se&keywords=sneakers+for+men+nike&nsdOptOutParam=true&qid=1729366158&sr=8-12
2024-10-20,the U.S. POLO ASSN. Store,U.S. POLO ASSN. Men's Canvas Sneaker,OFF WHITE,"2,376",4.1 out of 5 stars,Available ,https://www.amazon.in//U-S-POLO-ASSN-Sneakers-2FD23313A01/dp/B0C9DYKLWH/ref=sr_1_17?dib=eyJ2IjoiMSJ9.p8S22oHW-QuyVTiio2bpnVgbvdpJSKrUzIVAvyF8dmZ56dPOpA4oqBqoZxuwBR2mGtvt4jj8dLtDkNDwrgW0x3c9TIg8OLIsPOtkqYad7CaZDpiDFmu4SkVtvL_Mk5dWuh58ffrkPorTZSkioKVSLtwpCyqnTm7k1nHoKjqYAmBBn9JA7Q0eJu93VTSzVVmr2ZuxLFmVq8snlkSJLl_KlmF6Wok1D9ysadzkfyl4UHCjEjgl0GZFU2iGf_JvJDi6F8wjTcMf_pHMLcKfVJi4ai-skrxLgaydMMLcv5YJoww.pAfsenEZISP3PHK35eaCxhW5WEgcCA44-tRGhE294yw&dib_tag=se&keywords=sneakers+for+men+nike&nsdOptOutParam=true&qid=1729366158&sr=8-17
2024-10-20, Nike,Nike Mens Blazer Low '77 VNTG Sneaker,WHITE/BLACK-SAIL,"5,396",4.1 out of 5 stars,Only 1 left in stock.,https://www.amazon.in//Nike-Blazer-Basketball-Shoes-White/dp/B08XBB128L/ref=sr_1_28?dib=eyJ2IjoiMSJ9.p8S22oHW-QuyVTiio2bpnVgbvdpJSKrUzIVAvyF8dmZ56dPOpA4oqBqoZxuwBR2mGtvt4jj8dLtDkNDwrgW0x3c9TIg8OLIsPOtkqYad7CaZDpiDFmu4SkVtvL_Mk5dWuh58ffrkPorTZSkioKVSLtwpCyqnTm7k1nHoKjqYAmBBn9JA7Q0eJu93VTSzVVmr2ZuxLFmVq8snlkSJLl_KlmF6Wok1D9ysadzkfyl4UHCjEjgl0GZFU2iGf_JvJDi6F8wjTcMf_pHMLcKfVJi4ai-skrxLgaydMMLcv5YJoww.pAfsenEZISP3PHK35eaCxhW5WEgcCA44-tRGhE294yw&dib_tag=se&keywords=sneakers+for+men+nike&nsdOptOutParam=true&qid=1729366158&sr=8-28
2024-10-20, Nike,NIKE mens Court Legacy Nn Running Shoe,WHITE/WHITE-BLACK,"3,018",3.8 out of 5 stars,Only 5 left in stock.,https://www.amazon.in//Nike-Court-Legacy-Numeric_6-White-Black/dp/B0B3XSNY4V/ref=sr_1_39?dib=eyJ2IjoiMSJ9.p8S22oHW-QuyVTiio2bpnVgbvdpJSKrUzIVAvyF8dmZ56dPOpA4oqBqoZxuwBR2mGtvt4jj8dLtDkNDwrgW0x3c9TIg8OLIsPOtkqYad7CaZDpiDFmu4SkVtvL_Mk5dWuh58ffrkPorTZSkioKVSLtwpCyqnTm7k1nHoKjqYAmBBn9JA7Q0eJu93VTSzVVmr2ZuxLFmVq8snlkSJLl_KlmF6Wok1D9ysadzkfyl4UHCjEjgl0GZFU2iGf_JvJDi6F8wjTcMf_pHMLcKfVJi4ai-skrxLgaydMMLcv5YJoww.pAfsenEZISP3PHK35eaCxhW5WEgcCA44-tRGhE294yw&dib_tag=se&keywords=sneakers+for+men+nike&nsdOptOutParam=true&qid=1729366158&sr=8-39
